index,text
134,yah 130 tidak dapat padahal ngarep banget karena bnr2 hemat banget bisa untuk perlu yang lain
135,ih saya sudah brapa bulan bayar listrik murah banget dlm sbulan biasa 120rb jadi 10rb ada kali sudah atau bulan
136,di batas apa tidak ya
137,moga 130 masuk agak bingung
138,cara bagaimana kak
139,kirakira anak abah dapat diskon juga atau tidak ya
140,dapat dari perintah hanya diskon listrik bulan tetapi blnya dua kali lipat byrany ampun stop sklian saja tidak doat apa2
141,listrik dapat diskon tetapi barang butuh pasti juga naik harga
142,terimakasih karena diskon listrik token rumah saya belum abis2
143,salah satu yang rasa irit diskon listrik waktu itu sekarang mau ada diskon lagi alhamdulilah bisa hemat
144,kemarin kasih diskon 50 sudah itu naik ampun
