index,text
87,mnding byar kaya biasa aja..ngapain diskon..habis diskon byr listrik mau jantungan naek 2x lipat
88,perasaan itu bukan melonjak 2x deh . itu kembali ke tagihan awal kan 2 bulan diskon 50 persen separuh harga biasa . ya setlag itu kembali lagi jd 2x lipat dr harga diskon kan emang begitu . gw begitu kok . alhamdulillah selama diskon membantu ..
89,hallo aku udh mau 3 bulan belum beli listrik lgi 🥰
90,"diskon januari sd februari aja belum habis sampe sekarang,,,terang benderang indonesiakuuu🥰🥰 terimakasih bapak presiden🥰🥰"
91,1300 masih dapet gk woy😭
92,"diskon kemaren full beli jatah 450rb masih ada 250kwh, kalau dapat diskon lagi lumayan lah hemat sampai akhir tahun"
93,kalau pas di 1.300
94,"alhamdulillah kalau gitu, diskon kemarin habis bulan juni, pas banget dapat diskon lagi, klau memang bener"
95,biasa bayar 300 rb dpt diskon jadi 188 rb bulan berikutnya 425 rb.....🤣🤣
96,dari januari blm isi token lagi nih... kalo juni coming soon again okelah gasssssssss
97,abis diskon naik 3 kali lipat
98,aku cuma setor 18rb bln skrng🤭
99,alhamdulillah
100,alhamdulillah yaa allah ada diskon lagi 😭😭😭
101,coba aja tar kita lihat🔥🔥🔥
102,baru aja nambah daya ke 2200😭
103,kasiannya aku yg 2200 gadapet disc🥺
104,ini berlaku untuk listrik token juga yaa? info ka.
105,jadi sekarang kalau pas 1.300 va gimana?
106,punyaku yang diskon keamrin belum habis loh
107,mantap discon kmren aja masih ada udh 3 bln belom isi token lagi 🙏
108,2200 nangis😭
109,"bulan skrg biasa bayar 300, jd 400 😭😭"
110,bagussss kasih diskon aja terussss 💃🏻
111,yg diskon kmren blum habis klo ad diskon lg alhamdulillah
112,"alhamdulillah diskon bulan kemarin aja belum habis masih satu bulan lebih pemakaiannya,eh ini malah ada diskon lagi,trimakasih pak prabowo"
113,2200va juga butuh diskon😭
114,"yg dibawa 1,300 dpt discount,kami yg kwh 2,200 menangis🥺"
115,saya suka saya suka diskon terus pak listrik kita
116,yah ga dpt deh aku
117,habis diskon. tau tau tagihan naik
118,alhamdulillah
119,gratis tapi berikut ntah melojak🤦
120,valid gak ini
121,tehnik marketing nya mantap... turunkan dulu baru naikkan 😂🤣 rakyat skrg mah dah pd pinter²...
122,"diskon sih, tapi habis diskon , bayar listrik juga naik"
123,"alhamdulilah bulan kmaren ja token ya masih bnyak sneng aku klo ada diskonan gni , bulan besok ad diskonan lg alhamdulilah alhamdulilah alhamdulilah mantapp🥰😍👍"
124,"itu diskonnya di bawah 1300, brarti yg 1300 gak dpt gtu ya .?"
125,gda saingan bilang rugi2 dah
126,yg bener kah ini bakal ada program keg bulan kmren?? isi token 2 blm insyallah buat setahun kalo ini ada lg bakal 2 th gak mikir token lg gw.
127,mana tadi gue udah isi buat sebulan😭
128,saldo saya masih 40000++ dari januari 80000 😁 sangat membantu
129,"habis discount bulan kemaren, bulan sekarang brasa 2x lipat beli plsa nya"
130,"alhamdulillah,,,terimkasih pln"
131,alhamdulillah periode awal token udah mau habis sekarang diskon lagi
132,diskon yg dulu membuat ku trauma 😭
133,"discount,hbs tuh melonjak🤔"
134,yah 1300 ga dapet.. pdhl ngarep bgt krn bnr2 ngirit bgt bisa buat keperluam yg lain 😭
135,ih aku udh brapa bulan bayar listrik murah bgtt😭 dlm sbulan biasa 120rb jadi 10rb ada kali udh 4 atau 5 bulan
136,di batasi apa nggak ya??
137,semoga 1300 termasuk agak membingungkan
138,caranya gimana kak
139,kira-kira anak abah dapet diskon juga atau gak ya😳
140,"dpt dri pmrintah cma diskon listrik, 2 bln tp 5 blnnya 2x lipat byranny ampun stop. sklian aj gk doat apa2"
141,listrik dpt diskon tp barang kebutuhan dipastikan juga dinaikkan harganya
142,terimakasih karena diskon listriknya token rumah saya belum abis2
143,salah satu yg merasakan keiritan diskon listrik waktu itu. skrg mau ada diskon lg. alhamdulillah bisa menghemat.🙏
144,kemaren dikasi diskon 50 % habis itu dinaikkan ampun
